Pclass,Age,SibSp,Parch,Fare,DistanceToEvacuationBoats,Speed,Survived
3,16.23379393648944,2,2,132.18628736475722,67.7093134519879,2.941078391041531,0
1,0.8594500806962789,2,1,98.45717288600461,48.303842869299984,26.361513834810886,0
3,65.3144204764357,2,0,46.00259407491922,49.353263211403316,16.771842240050066,0
3,56.67170742339337,3,1,222.15543879463465,8.420112678406438,5.362610703541528,1
1,58.43439043270177,6,6,354.0694496880408,9.26124431112226,12.632025939268388,1
1,61.79769418926756,3,5,34.50415292278091,60.28384849752179,23.439267370189153,0
3,6.312473384998911,8,1,469.01335990662557,55.4149349293455,14.670917415057463,0
2,28.946702677553215,0,2,229.27258047366996,21.351516712920475,29.565938494632377,1
3,9.640859757009823,7,5,126.57219109280344,94.62483483388087,11.613799613169252,0
3,69.10577063117974,6,1,52.593758071214914,78.15147544207314,22.612559849294126,0
3,50.022064932937056,1,6,97.71306053340481,11.435113741543057,12.093188744876343,1
3,26.752864817773823,7,5,478.84929665123286,93.09981765816053,24.960344510842177,0
1,5.477973515761761,0,6,328.6031910785786,97.42739603258758,17.287903340389555,0
3,25.167973162132398,8,1,266.9650025152693,99.59353107882988,2.3735989729050395,0
2,26.29808876688853,8,6,338.1554435495846,5.68152835226727,1.5862450952617457,1
1,58.48205967214314,1,2,225.88615962969075,73.7298521234218,4.448637504618679,0
2,51.15682357044786,6,1,375.129933496842,54.636985439482395,0.9033229623964198,0
2,71.02439005422407,2,1,29.192076739665936,70.61256523948158,2.7230922803976383,0
2,37.998863744387926,6,1,291.9808657204967,96.86832920301609,20.905574716482906,0
2,9.93731009177005,8,0,85.43374895474295,68.83419801648641,16.26321511336916,0
1,57.18002016720594,3,0,65.92347643746058,83.71269103631366,22.62236710936417,0
1,60.9632741689327,0,0,178.3329910252156,86.70018366055305,27.438389691600463,0
2,45.08643938258051,1,2,51.54212636741504,83.8642283000221,17.76191120360142,0
2,61.77356818078396,0,5,52.73759305215998,42.66653835718942,21.92056490011952,1
1,39.71625355867821,4,6,162.88654786138616,22.335384115345953,22.83389546025245,1
1,42.019078562219086,4,4,501.61183801110485,39.72549503522976,11.6465912036357,1
1,34.44371424097338,6,1,93.89244683389464,89.2005011868,7.61200255372414,1
3,2.442854106295095,8,6,13.70067862869737,14.745821687033347,6.548837190942485,0
3,9.005999760127168,8,1,392.02576246298287,51.38128425237005,7.917551965598054,0
3,2.9211345969503117,2,2,414.1048793647452,23.39948443521033,8.604588012264308,0
2,51.06554052837164,2,1,180.5762907923262,58.17241118095556,6.613215645737665,1
3,25.436448974054077,2,0,240.58962316038298,86.32753834670149,26.40750969063617,0
2,40.89205560288705,3,4,334.435257099881,88.04796086697785,22.831474399080747,0
2,72.64413999503849,7,3,29.3658745678961,23.74485084883967,1.8834457998409877,1
