YearsExperience,Salary
4.370861069626263,65402.12389820096
9.556428757689245,104956.39330918463
7.587945476302646,91162.36769309868
6.387926357773329,71165.56628918217
2.4041677639819286,48134.982672667866
2.403950683025824,51017.16832176532
1.5227525095137953,49571.490299817946
8.795585311974417,97773.3314044271
6.41003510568888,77237.8128310451
7.372653200164409,86472.44038339259
1.185260448662222,44059.09417780815
9.72918866945795,109477.26490396202
8.491983767203795,95287.06911879517
2.9110519961044856,55854.753134402665
2.636424704863906,51576.785385651456
2.650640588680904,56048.34966211168
3.7381801866358395,56395.17602369996
5.72280788469014,74144.15234453228
4.887505167779042,67139.50057657156
3.6210622617823773,51650.923353598424
6.506676052501415,83534.0098053342
2.2554447458683766,49348.83432784647
3.629301836816963,59059.98197774801
4.297256589643226,63205.11705027007
5.104629857953324,63760.185153374514
8.066583652537123,92429.4426064702
2.7970640394252375,50662.93973276805
5.628109945722504,71013.49321967195
6.331731119758382,79847.420399737
1.4180537144799796,43364.68399991253
6.467903667112945,91174.15884295621
2.5347171131856236,51150.62596964418
1.5854643368675156,43971.46664855394
9.539969835279999,105947.52910340915
9.690688297671034,97931.65030487307
8.27557613304815,96072.03968713911
3.741523922560336,60233.342430187826
1.8790490260574548,57348.60277088607
7.158097238609412,86302.97308496968
4.961372443656412,71198.71626091936
2.0983441136030097,46613.19406029786
5.456592191001432,67809.3473399138
1.3094966900369656,46190.08759287083
9.18388361870904,107230.73411310618
3.3290198344001523,60587.318410416454
6.962700559185838,81154.667199513
3.8053996848046987,67457.16903311809
5.680612190600297,68435.64221084098
5.920392514089517,80297.42558171749
2.6636900997297435,62261.798926887845
9.726261649881026,102857.41157339477
7.976195410250031,90978.07463398638
9.455490474077703,106142.18061805982
9.053446153848839,99910.19096020971
6.381099809299767,73295.48131906748
9.296868115208051,104717.75979569455
1.7964325184672756,39059.941579107675
2.763845761772307,54478.72824735437
1.4070456001948426,36659.24363038972
3.927972976869379,69173.45584004273
4.498095607205338,62068.49839596152
3.442141285965063,55926.822706692124
8.458637582367365,101736.68674578726
4.210779940242303,57531.91793976865
3.5284105871864266,59364.584370512064
5.884264748424236,83609.83175880603
2.2683180247728636,40109.12802537677
8.219772826786357,96681.35190695238
1.6709557931179373,44667.06031618561
9.881982429404655,112964.97379412378
7.9502029236699165,87416.86983496892
2.7884411338075514,45705.24600503903
1.0496990541124216,41007.30026098386
8.339152856093508,98198.14621491398
7.361716094628554,90146.19300875782
7.561064512368886,92220.75714643596
7.941433120173512,90131.34135349563
1.6664018656068134,44492.48341065952
4.226191556898454,65274.89482168103
2.0428215357261674,42770.8151956775
8.767930832880342,109472.31921876651
6.609683141448022,85246.62973614312
3.9780822236738427,55868.1403033775
1.5720251525742128,45858.969263762854
3.79884089544096,55517.31881239107
3.9266498982407234,65348.62220463804
7.566455605042576,96324.62273537763
6.738017242196918,79800.72634581679
8.98491468318694,106696.19811171712
5.249934326457543,74063.37924634284
2.0763482134447155,50721.08650753017
7.419203085006955,98837.58959332538
7.847065437552077,91549.58292040226
6.051494778125466,74643.27740321629
7.938704619591049,89062.06480860077
5.444160367279517,69474.23151340894
5.704595464437946,75251.25516843304
4.847869165226947,70488.7131958988
1.2287721406968566,41213.63112222495
1.97102284293974,49904.09898869804
